Sample_ID,Completeness,Contamination,WGS_5S,WGS_16S,WGS_23S,WGS_tRNA,Quality_Classification
AG-319-B11,15.37,0,0,0,0,9,Low
AG-319-B13,0,0,0,0,0,3,Low
AG-319-B14,32.76,0,0,0,0,19,Low
AG-319-B15,0,0,0,0,0,2,Low
AG-319-B16,4.17,0,0,0,0,4,Low
AG-319-B17,5.36,0,0,0,0,0,Low
AG-319-B18,23.33,0,0,0,0,20,Low
AG-319-B19,15.02,0,1,0,1,12,Low
AG-319-B20,7.55,0,0,0,0,1,Low
AG-319-B21,13.15,0,0,0,0,10,Low
AG-319-B23,64.35,0,1,1,1,33,Medium
AG-319-C02,29.66,0.37,0,0,0,19,Low
AG-319-C04,7.55,0,0,2,1,3,Low
AG-319-C05,11.61,0,0,0,0,10,Low
AG-319-C06,46.87,0,1,1,1,23,Low
AG-319-C07,44.36,1.05,1,0,0,18,Low
AG-319-C08,0,0,0,0,0,1,Low
AG-319-C09,37.35,0,0,0,0,14,Low
AG-319-C10,61.64,1.76,0,0,0,36,Medium
AG-319-C11,46.9,0,1,2,1,13,Low
AG-319-C13,36.02,0,0,1,0,18,Low
AG-319-C14,8.64,0.17,1,0,0,11,Low
AG-319-C15,17.24,0,0,0,0,7,Low
AG-319-C16,2.81,0,0,0,0,2,Low
AG-319-C17,0,0,0,0,0,2,Low
AG-319-C18,0,0,0,0,0,4,Low
AG-319-C19,26.42,0,1,1,1,13,Low
AG-319-C20,7.01,0,0,0,0,2,Low
AG-319-C21,46.36,0.55,0,1,0,18,Low
AG-319-C22,45.4,4.81,0,0,0,12,Low
AG-319-D02,15.04,0,0,0,0,13,Low
AG-319-D03,1.79,0,0,0,0,0,Low
AG-319-D05,65.46,0,1,1,1,18,Medium
AG-319-D06,45.69,0,0,0,0,29,Low
AG-319-D07,86.75,0,1,1,1,29,Medium
AG-319-D08,10.38,0,0,0,0,4,Low
AG-319-D09,91.75,0.66,1,1,1,33,High
AG-319-D10,8.33,0,0,0,0,3,Low
AG-319-D11,4.17,4.17,0,1,1,7,Low
AG-319-D13,30.36,0,0,0,0,9,Low
AG-319-D15,0,0,0,0,0,0,Low
AG-319-D16,13.21,0,1,0,0,4,Low
AG-319-D17,25.92,0,0,0,0,14,Low
AG-319-D18,42.93,0,1,1,1,20,Low
AG-319-D19,36.96,0,1,0,1,9,Low
AG-319-D20,40.75,0,0,1,1,10,Low
AG-319-D21,22.41,0,0,0,0,5,Low
AG-319-D22,18.5,0,0,0,0,5,Low
AG-319-D23,5.66,0,0,0,0,3,Low
AG-319-E03,59.04,0,1,1,1,29,Medium
AG-319-E04,35.98,0,0,0,0,14,Low
AG-319-E05,23.64,0,0,1,0,8,Low
AG-319-E06,25.16,0,0,0,0,11,Low
AG-319-E07,38.29,0,1,0,1,16,Low
AG-319-E08,8.33,0,1,0,0,9,Low
AG-319-E09,48.15,0,0,1,0,15,Low
AG-319-E10,56.47,0.13,1,1,1,22,Medium
AG-319-E11,66.9,0,1,0,0,25,Medium
AG-319-E13,11.32,0,0,0,0,4,Low
AG-319-E14,27.36,1.89,0,0,0,4,Low
AG-319-E16,8.93,0,0,0,0,1,Low
AG-319-E17,31.37,0.84,0,0,0,17,Low
AG-319-E18,58.4,0,0,0,0,29,Medium
AG-319-E19,18.97,0,1,1,1,4,Low
AG-319-E20,48.89,0.41,1,1,1,15,Low
AG-319-E21,60.39,0.03,0,0,0,16,Medium
AG-319-E22,63.71,0,1,1,1,22,Medium
AG-319-E23,11.32,0,1,0,0,4,Low
AG-319-F02,37.92,0.8,1,1,1,17,Low
AG-319-F03,39.66,0,1,1,1,16,Low
AG-319-F04,50.49,0,1,1,1,21,Medium
AG-319-F05,67.12,0.47,1,0,0,21,Medium
AG-319-F06,13.21,0,0,0,0,5,Low
AG-319-F07,12.07,0,0,0,0,5,Low
AG-319-F08,73.6,0,0,0,0,25,Medium
AG-319-F09,67.96,0,1,0,0,26,Medium
AG-319-F10,39.48,0.44,0,0,0,16,Low
AG-319-F14,58.49,1.89,0,0,1,17,Medium
AG-319-F15,65.42,2.26,1,1,1,26,Medium
AG-319-F16,50.31,0,1,1,1,20,Medium
AG-319-F18,79.87,0,1,1,1,28,Medium
AG-319-F19,52.91,0,0,1,1,23,Medium
AG-319-F20,0,0,0,0,0,4,Low
AG-319-F21,61.05,0.35,0,1,0,26,Medium
AG-319-F23,44.01,0,1,0,0,16,Low
AG-319-G02,42,0.35,0,1,0,31,Low
AG-319-G04,30.44,0,0,0,0,9,Low
AG-319-G05,28.16,0,1,1,1,11,Low
AG-319-G06,0,0,0,0,0,0,Low
AG-319-G07,28.49,0,0,0,0,17,Low
AG-319-G09,34.48,0,1,1,1,13,Low
AG-319-G10,10.34,0,0,0,0,5,Low
AG-319-G11,6.09,0.37,0,0,0,7,Low
AG-319-G13,48.41,0,0,1,1,14,Low
AG-319-G14,32.6,0,0,0,0,8,Low
AG-319-G15,72.69,0,0,1,1,29,Medium
AG-319-G16,58.6,0,0,0,0,29,Medium
AG-319-G17,60.66,0.99,0,0,0,23,Medium
AG-319-G18,72.67,0,1,0,1,27,Medium
AG-319-G19,0,0,0,0,0,7,Low
AG-319-G20,4.17,0,0,0,0,6,Low
AG-319-G21,49.14,0,0,0,0,13,Low
AG-319-G22,61.32,0.27,0,0,0,24,Medium
AG-319-G23,59.47,0,1,1,1,25,Medium
AG-319-I02,0,0,0,0,0,2,Low
AG-319-I03,41.84,1.31,0,1,1,11,Low
AG-319-I04,0,0,0,1,0,2,Low
AG-319-I05,16.05,0,0,0,0,5,Low
AG-319-I06,18.97,0,1,0,1,11,Low
AG-319-I07,39.7,0,1,1,1,20,Low
AG-319-I09,60.78,0,1,1,1,33,Medium
AG-319-I10,22.41,1.72,1,1,1,12,Low
AG-319-I11,9.43,0,0,0,0,2,Low
AG-319-I13,0,0,0,0,0,2,Low
AG-319-I14,4.17,0,0,0,0,1,Low
AG-319-I15,4.46,0,0,0,0,6,Low
AG-319-I16,8.33,0,0,0,0,9,Low
AG-319-I17,4.17,0,1,0,0,8,Low
AG-319-I18,19.3,0,0,0,0,5,Low
AG-319-I19,18.35,0,0,0,0,8,Low
AG-319-I20,65.11,0,0,0,0,25,Medium
AG-319-I22,48.1,0,1,1,1,34,Low
AG-319-I23,13.3,0,0,0,0,4,Low
AG-319-J02,57.35,0,0,0,0,22,Medium
AG-319-J03,10.71,0,0,0,0,0,Low
AG-319-J04,0.29,0,0,0,0,0,Low
AG-319-J05,53.62,0,1,1,1,24,Medium
AG-319-J06,74.4,0,1,0,1,36,Medium
AG-319-J07,30.36,0,0,0,0,13,Low
AG-319-J09,44.2,0,0,0,0,21,Low
AG-319-J10,0,0,0,0,0,2,Low
AG-319-J11,8.93,0,0,0,0,5,Low
AG-319-J13,67.95,0,1,0,1,30,Medium
AG-319-J14,0,0,0,0,0,3,Low
AG-319-J15,12.07,0,0,0,0,7,Low
AG-319-J16,1.89,0,0,0,0,6,Low
AG-319-J17,15.67,0,0,0,0,19,Low
AG-319-J18,47.16,0,1,1,1,15,Low
AG-319-J19,18.87,0,1,0,1,2,Low
AG-319-J20,0,0,0,0,0,0,Low
AG-319-J21,41.95,0,0,0,0,15,Low
AG-319-J22,37.93,0,1,1,2,16,Low
AG-319-J23,28.57,0,1,1,1,19,Low
AG-319-K02,46.68,0,0,0,0,30,Low
AG-319-K03,61.88,0,1,1,1,28,Medium
AG-319-K04,57.05,1.2,0,0,0,16,Medium
AG-319-K05,37.62,0.33,1,1,1,18,Low
AG-319-K06,5.4,1.89,1,0,0,1,Low
AG-319-K07,29.61,0,0,0,0,12,Low
AG-319-K08,51.48,0,1,1,1,21,Medium
AG-319-K09,17.32,0,0,0,0,0,Low
AG-319-K10,47.39,0,1,1,0,15,Low
AG-319-K11,65.69,0.41,0,0,0,25,Medium
AG-319-K13,27.57,0,0,0,0,13,Low
AG-319-K14,8.33,0,0,0,0,2,Low
AG-319-K15,0,0,0,0,0,2,Low
AG-319-K16,28.99,0,1,0,0,18,Low
AG-319-K17,37.84,0,1,0,1,15,Low
AG-319-K19,64.99,0,0,1,0,28,Medium
AG-319-K20,19.29,0,0,0,0,7,Low
AG-319-K21,51.72,0,0,0,0,15,Medium
AG-319-K23,27.83,0.56,1,0,1,17,Low
AG-319-L02,4.17,0,0,0,0,5,Low
AG-319-L03,17.24,0,0,0,0,7,Low
AG-319-L04,12.07,0.86,0,0,0,8,Low
AG-319-L05,0,0,0,0,0,5,Low
AG-319-L06,0,0,0,0,0,4,Low
AG-319-L07,23.81,0,0,0,0,14,Low
AG-319-L08,7.77,0,0,0,0,4,Low
AG-319-L09,4.17,0,0,0,0,5,Low
AG-319-L10,21.67,0.8,0,0,0,17,Low
AG-319-L11,49.06,0,1,1,1,26,Low
AG-319-L13,8.93,0,0,0,0,0,Low
AG-319-L14,23.28,0,1,1,1,11,Low
AG-319-L15,8.62,5.17,0,0,0,2,Low
AG-319-L16,42.63,0,0,0,0,11,Low
AG-319-L17,70.2,0,1,1,1,21,Medium
AG-319-L18,0,0,0,0,0,10,Low
AG-319-L19,0,0,0,1,1,2,Low
AG-319-L20,12.5,0,0,0,0,4,Low
AG-319-L21,0,0,1,0,0,5,Low
AG-319-L22,0,0,0,0,0,3,Low
AG-319-L23,8.93,0,0,0,0,2,Low
AG-319-M02,39.34,0,0,0,0,16,Low
AG-319-M03,61.61,0,1,0,1,19,Medium
AG-319-M04,9.94,0,0,0,0,10,Low
AG-319-M06,0,0,0,0,0,3,Low
AG-319-M07,9.82,0,0,0,0,4,Low
AG-319-M08,14.46,0,1,0,0,2,Low
AG-319-M09,40.29,0,1,1,0,15,Low
AG-319-M11,8.33,0,0,0,0,4,Low
AG-319-M13,15.09,0,0,0,1,2,Low
AG-319-M14,83.65,0.47,1,1,1,27,Medium
AG-319-M15,0,0,0,0,0,0,Low
AG-319-M16,13.79,0,0,0,0,10,Low
AG-319-M17,0,0,1,1,1,0,Low
AG-319-M18,8.33,0,0,0,0,2,Low
AG-319-M19,12.5,0,1,0,0,8,Low
AG-319-M21,0,0,0,0,0,2,Low
AG-319-M22,0,0,0,0,0,3,Low
AG-319-M23,16.67,0,1,1,1,15,Low
AG-319-N02,24.14,0,0,0,0,11,Low
AG-319-N03,25.21,0,1,1,1,11,Low
AG-319-N04,29.03,0,0,0,0,2,Low
AG-319-N05,4.17,0,0,0,0,0,Low
AG-319-N06,9.39,0,0,0,0,3,Low
AG-319-N07,57.34,1.71,0,0,0,22,Medium
AG-319-N08,0,0,0,0,0,10,Low
AG-319-N09,30.78,0.79,0,0,0,16,Low
AG-319-N10,38.76,0,0,0,0,11,Low
AG-319-N11,12.34,0,0,0,0,4,Low
AG-319-N13,31.2,0,0,0,0,19,Low
AG-319-N14,0,0,0,0,0,1,Low
AG-319-N16,24.48,0,0,0,0,4,Low
AG-319-N17,27.18,0,0,0,0,15,Low
AG-319-N18,8.9,0.16,0,0,0,2,Low
AG-319-N19,54.47,0,1,1,1,29,Medium
AG-319-N20,66.13,0,1,1,0,27,Medium
AG-319-N21,23.33,1.2,0,0,0,6,Low
AG-319-N22,29.77,0,0,0,0,15,Low
AG-319-N23,68.87,0.56,1,0,0,23,Medium
AG-319-O02,10.94,0,0,0,0,4,Low
AG-319-O03,6.15,0,0,0,0,5,Low
AG-319-O04,31.38,0,0,0,0,18,Low
AG-319-O05,16.88,0.47,0,0,0,6,Low
AG-319-O06,45.68,0,1,0,1,14,Low
AG-319-O07,54.62,0.13,1,1,1,15,Medium
AG-319-O08,4.63,0,0,0,0,0,Low
AG-319-O10,0,0,1,0,0,0,Low
AG-319-O11,31.03,0,0,0,0,13,Low
AG-319-O13,56.23,0.37,1,1,1,31,Medium
AG-319-O14,43.74,0.17,1,0,0,10,Low
AG-319-O15,26.42,0,0,0,0,6,Low
AG-319-O16,9.82,0,0,0,0,4,Low
AG-319-O17,23.38,0,0,0,0,15,Low
AG-319-O18,0,0,0,0,0,6,Low
AG-319-O19,13.21,0,1,0,0,7,Low
AG-319-O20,8.62,0,0,0,0,8,Low
AG-319-O21,43.38,0,0,0,0,17,Low
AG-319-O22,55.02,0,0,1,1,24,Medium
AG-319-O23,0,0,0,0,0,5,Low
AG-319-P01,8.33,0,0,0,0,9,Low
AG-319-P02,15.86,1.36,1,0,1,12,Low
AG-319-P03,30.25,0,1,1,1,17,Low
AG-319-P04,63.31,0.66,0,0,1,21,Medium
AG-319-P05,52.59,0,1,1,1,18,Medium
AG-319-P06,4.17,0,0,0,0,1,Low
AG-319-P07,31.13,0,0,0,0,16,Low
AG-319-P08,30.12,0,0,0,0,7,Low
AG-319-P09,1.79,0,0,0,0,1,Low
AG-319-P10,63.29,0,1,1,1,24,Medium
AG-319-P11,52.1,0,1,1,1,26,Medium
AG-319-P13,66.15,0,0,1,0,23,Medium
AG-319-P14,44.34,0,0,0,0,11,Low
AG-319-P16,37.89,0,0,0,0,10,Low
AG-319-P17,73.9,0,0,1,0,27,Medium
AG-319-P18,12.5,0,1,1,1,17,Low
AG-319-P19,16.3,0,0,0,0,8,Low
AG-319-P20,47.24,0,0,1,1,18,Low
AG-319-P21,43.1,0,0,0,0,15,Low
AG-319-P22,0.93,0,0,0,0,1,Low
AG-319-P23,0,0,0,0,0,0,Low
AG-321-A11,0,0,0,0,0,1,Low
AG-321-A13,57.64,0.43,1,1,1,20,Medium
AG-321-B08,9.48,0,0,0,0,4,Low
AG-321-B15,12.5,0,0,0,0,4,Low
AG-321-D23,76.9,0,0,1,1,26,Medium
AG-321-E21,72.01,0,0,1,1,28,Medium
AG-321-F02,29.31,0,1,1,1,17,Low
AG-321-G20,38.4,0,1,1,1,13,Low
AG-321-G21,25,0,0,0,0,8,Low
AG-321-I09,21.25,0,0,0,0,7,Low
AG-321-K06,13.79,0,2,1,2,6,Low
AG-321-K11,16.44,0.27,0,0,0,0,Low
AG-321-K23,73.86,0,1,1,1,31,Medium
AG-321-L23,14.66,1.72,0,0,0,6,Low
AG-321-M21,51.11,0.27,1,1,1,19,Medium
AG-321-O21,12.07,0,0,0,0,4,Low
AG-321-P21,24.9,1.49,0,0,0,13,Low
AG-323-A01,6.32,0,0,0,0,2,Low
AG-323-A11,4.17,0,0,0,0,2,Low
AG-323-B19,4.17,0,0,0,0,0,Low
AG-323-C04,1.73,0,0,0,0,4,Low
AG-323-D06,0,0,0,0,0,1,Low
AG-323-D18,0,0,0,0,0,0,Low
AG-323-E20,0,0,0,0,0,0,Low
AG-323-F11,5.17,0,1,0,1,2,Low
AG-323-G20,5.17,0,0,0,0,2,Low
AG-323-L13,0,0,0,0,0,0,Low
AG-323-L21,0,0,0,0,0,4,Low
AG-323-O03,0,0,0,0,0,0,Low
AG-323-O19,0,0,0,0,0,1,Low
AG-323-O22,0,0,0,0,0,3,Low
AG-325-A01,47.97,0,0,0,0,18,Low
AG-325-A02,49.06,0,1,1,1,20,Low
AG-325-A04,0,0,0,0,0,0,Low
AG-325-A05,20.83,0,1,0,0,10,Low
AG-325-A06,67.9,0,1,0,0,17,Medium
AG-325-A07,52.23,0,0,0,0,13,Medium
AG-325-A08,0,0,0,0,0,0,Low
AG-325-A09,72.91,0,1,1,1,23,Medium
AG-325-A10,44.7,0,0,0,0,14,Low
AG-325-A11,72.35,0,1,1,1,21,Medium
AG-325-A13,58.29,0,1,1,1,13,Medium
AG-325-A14,47.89,0.74,0,0,0,25,Low
AG-325-A15,54.78,0.07,1,1,1,24,Medium
AG-325-A16,61.24,0.6,0,0,0,17,Medium
AG-325-A17,0,0,0,0,0,0,Low
AG-325-A19,20.35,0.37,0,0,0,15,Low
AG-325-A20,50.04,0,1,1,1,24,Medium
AG-325-A21,76.78,0.71,1,1,1,20,Medium
AG-325-A22,42.35,0,1,1,1,24,Low
AG-325-A23,31.71,0,0,1,1,17,Low
AG-325-B02,0,0,0,0,0,2,Low
AG-325-B03,51.58,0,0,1,1,22,Medium
AG-325-B04,56.35,0,0,0,0,16,Medium
AG-325-B05,16.93,0,0,0,0,9,Low
AG-325-B06,48.53,0,0,0,0,11,Low
AG-325-B07,3.45,0,0,1,1,5,Low
AG-325-B08,34.51,0,0,0,0,13,Low
AG-325-B09,9.61,0,0,0,0,3,Low
AG-325-B10,82.37,0,0,1,1,22,Medium
AG-325-B11,31.58,0,0,0,0,17,Low
AG-325-B13,67.47,0,0,1,1,29,Medium
AG-325-B15,57.6,0,0,0,0,21,Medium
AG-325-B16,39.62,0,0,1,1,16,Low
AG-325-B17,17.92,0,0,0,0,9,Low
AG-325-B18,33.73,1.2,0,0,0,13,Low
AG-325-B19,61.83,0,0,0,0,28,Medium
AG-325-B20,0,0,0,0,0,0,Low
AG-325-B21,56.03,0,0,0,0,29,Medium
AG-325-C02,52.52,0,0,1,1,15,Medium
AG-325-C03,78.84,0,0,1,1,27,Medium
AG-325-C04,58.14,0.95,0,0,0,29,Medium
AG-325-C05,56.8,0,0,0,0,21,Medium
AG-325-C06,56.6,0,0,1,1,21,Medium
AG-325-C07,76.57,0.04,1,0,0,27,Medium
AG-325-C08,14.44,0,0,0,0,6,Low
AG-325-C09,55.61,0,1,1,1,29,Medium
AG-325-C10,78.29,0,1,1,1,26,Medium
AG-325-C11,0,0,0,0,0,0,Low
AG-325-C13,4.17,0,0,0,0,0,Low
AG-325-C14,41.85,0,0,1,1,13,Low
AG-325-C15,55.37,1.15,0,1,0,23,Medium
AG-325-C16,20.32,0,0,0,0,11,Low
AG-325-C17,22.41,0,0,0,0,16,Low
AG-325-C18,91.94,0,1,1,1,28,High
AG-325-C19,40.13,0,0,0,0,16,Low
AG-325-C20,4.17,0,0,0,0,2,Low
AG-325-C21,80.56,0,1,1,1,26,Medium
AG-325-C22,52.65,0.07,1,1,1,27,Medium
AG-325-D02,61.9,0,1,1,1,27,Medium
AG-325-D03,54.89,0,0,1,1,18,Medium
AG-325-D04,6.9,0,0,0,0,3,Low
AG-325-D05,0,0,0,0,0,6,Low
AG-325-D06,0,0,0,0,0,0,Low
AG-325-D07,59.05,0,0,0,0,13,Medium
AG-325-D09,46.21,0,1,0,1,19,Low
AG-325-D10,85.83,0.47,0,1,0,29,Medium
AG-325-D13,16.04,0,0,1,1,11,Low
AG-325-D14,70.49,0,0,0,0,22,Medium
AG-325-D15,0,0,0,0,0,0,Low
AG-325-D16,75.74,0,1,1,1,31,Medium
AG-325-D17,36.64,0.47,1,0,0,12,Low
AG-325-D18,8.92,0,0,0,0,9,Low
AG-325-D19,50.19,0,0,0,0,16,Medium
AG-325-D20,45.28,0,0,1,0,10,Low
AG-325-D21,3.44,0.36,0,0,0,25,Low
AG-325-D22,33.19,0,0,0,0,15,Low
AG-325-D23,40.52,0,0,0,0,17,Low
AG-325-E02,71.69,0,1,0,1,24,Medium
AG-325-E03,24.09,1.01,0,0,0,9,Low
AG-325-E04,68.36,0,1,1,1,28,Medium
AG-325-E05,10.63,0,0,0,0,0,Low
AG-325-E06,8.33,0,0,0,0,7,Low
AG-325-E07,69.02,0,1,1,1,24,Medium
AG-325-E08,88.94,0.47,1,1,1,28,Medium
AG-325-E09,52.99,0.43,0,0,0,29,Medium
AG-325-E10,42.5,0,1,1,1,23,Low
AG-325-E11,65.17,0,1,1,1,13,Medium
AG-325-E13,80.72,0,1,1,1,27,Medium
AG-325-E14,6.86,0,0,0,0,0,Low
AG-325-E15,22.41,0,0,0,0,7,Low
AG-325-E16,54.5,0.07,1,1,1,27,Medium
AG-325-E17,49.47,0,1,0,1,36,Low
AG-325-E18,47.74,0.27,1,1,1,20,Low
AG-325-E19,45.27,0,0,0,0,15,Low
AG-325-E20,96.39,0,1,1,1,31,High
AG-325-E21,17.24,0,0,0,0,2,Low
AG-325-E22,58.49,0,0,1,1,14,Medium
AG-325-E23,67.92,0,1,1,1,24,Medium
AG-325-F02,6.29,1.89,0,0,0,1,Low
AG-325-F03,4.17,0,0,0,0,1,Low
AG-325-F04,25.95,0,0,0,0,13,Low
AG-325-F05,27.36,0,0,0,0,11,Low
AG-325-F06,7.46,0.17,0,0,0,3,Low
AG-325-F08,29.23,5.17,1,1,1,20,Low
AG-325-F09,34.48,0,1,1,1,20,Low
AG-325-F10,4.17,0,0,0,0,4,Low
AG-325-F13,76.07,0,1,1,1,27,Medium
AG-325-F14,6.9,3.45,0,0,0,2,Low
AG-325-F15,68.06,0.95,0,1,0,23,Medium
AG-325-F16,61.72,0,0,1,0,15,Medium
AG-325-F17,16.04,0,0,0,0,4,Low
AG-325-F19,0,0,0,0,0,0,Low
AG-325-F20,18.19,0,1,0,1,4,Low
AG-325-F21,33.1,0,0,1,1,11,Low
AG-325-F22,63.18,0.08,1,1,1,22,Medium
AG-325-F23,96.39,0,1,1,1,35,High
AG-325-G02,4.17,0,0,1,1,2,Low
AG-325-G03,43.58,0,0,1,1,16,Low
AG-325-G04,13.21,0,0,0,0,9,Low
AG-325-G05,64.49,0.74,1,1,1,29,Medium
AG-325-G07,6.27,0,0,1,0,2,Low
AG-325-G08,50,0,1,1,1,7,Medium
AG-325-G09,71.5,0,1,1,1,32,Medium
AG-325-G10,11.32,0,0,0,0,5,Low
AG-325-G11,18.5,0,1,1,1,15,Low
AG-325-G13,62.16,0,0,0,0,22,Medium
AG-325-G14,13.16,0,0,0,0,3,Low
AG-325-G15,49.06,0,0,1,1,25,Low
AG-325-G16,11.32,0,0,0,0,8,Low
AG-325-G17,11.4,0.43,0,0,0,9,Low
AG-325-G18,22.52,0,1,0,0,13,Low
AG-325-G19,41.51,0,1,1,1,24,Low
AG-325-G20,15.95,0,0,0,0,9,Low
AG-325-G21,92.88,0,1,1,1,24,High
AG-325-G22,66.84,0,1,1,1,24,Medium
AG-325-I02,9.43,0,0,0,0,7,Low
AG-325-I03,53.89,0,0,0,1,30,Medium
AG-325-I04,27.71,1.2,0,0,0,10,Low
AG-325-I05,59.05,0,0,0,0,20,Medium
AG-325-I06,0,0,0,0,0,0,Low
AG-325-I07,9.43,0,0,0,0,0,Low
AG-325-I08,64.74,0,0,0,0,26,Medium
AG-325-I09,85.66,0,1,1,1,29,Medium
AG-325-I10,0,0,0,0,0,2,Low
AG-325-I11,63.11,0.07,1,1,1,30,Medium
AG-325-I13,52.9,0,1,1,1,18,Medium
AG-325-I14,64.32,0.37,0,0,0,34,Medium
AG-325-I15,17.24,0,0,0,0,3,Low
AG-325-I16,36.49,0,1,1,1,12,Low
AG-325-I17,62.87,1.35,0,1,0,22,Medium
AG-325-I19,45.28,0,1,1,1,11,Low
AG-325-I20,73.03,2.2,1,1,1,21,Medium
AG-325-I21,82.5,0.87,1,1,1,32,Medium
AG-325-I22,18.87,0,0,0,0,6,Low
AG-325-I23,59.67,0.19,1,1,1,33,Medium
AG-325-J02,20.69,0,0,0,0,10,Low
AG-325-J03,33.19,0,0,0,0,6,Low
AG-325-J04,50.29,0,0,0,0,22,Medium
AG-325-J05,27.05,0,0,0,0,20,Low
AG-325-J06,62.39,0.43,1,0,1,39,Medium
AG-325-J07,65.06,0,0,0,0,28,Medium
AG-325-J08,3.1,0,0,0,0,0,Low
AG-325-J09,0,0,0,0,0,0,Low
AG-325-J10,0,0,0,0,0,0,Low
AG-325-J11,74.71,0,1,1,1,34,Medium
AG-325-J13,70.75,0,1,1,1,21,Medium
AG-325-J14,0,0,0,0,0,0,Low
AG-325-J15,0,0,0,0,0,3,Low
AG-325-J16,15.09,0,0,0,0,4,Low
AG-325-J17,83.92,0,1,1,1,29,Medium
AG-325-J18,0,0,1,0,1,6,Low
AG-325-J19,7.07,0,0,1,0,5,Low
AG-325-J21,26.78,0,0,0,0,10,Low
AG-325-J22,4.17,0,1,1,1,3,Low
AG-325-J23,44.49,0,0,1,1,12,Low
AG-325-K02,78.57,0,0,1,1,25,Medium
AG-325-K03,80.39,0,1,1,1,28,Medium
AG-325-K04,18.87,0,0,0,0,2,Low
AG-325-K05,45.54,0,0,1,1,13,Low
AG-325-K06,42.39,0.87,1,1,1,26,Low
AG-325-K07,62.26,0,1,1,1,21,Medium
AG-325-K08,3.77,0,0,0,0,1,Low
AG-325-K09,77.22,0.47,0,1,1,22,Medium
AG-325-K10,73.76,0,1,0,0,27,Medium
AG-325-K11,49.06,0,1,1,1,17,Low
AG-325-K13,75.57,0.57,1,0,1,33,Medium
AG-325-K14,33.02,0,0,0,0,5,Low
AG-325-K15,0,0,0,0,0,4,Low
AG-325-K16,3.45,0,0,0,0,2,Low
AG-325-K17,54.72,0,0,1,1,21,Medium
AG-325-K18,11.32,0,0,1,1,2,Low
AG-325-K19,13.21,0,0,0,0,12,Low
AG-325-K21,0,0,0,0,0,2,Low
AG-325-K22,38.39,0,0,0,0,17,Low
AG-325-K23,4.17,0,0,0,0,5,Low
AG-325-L02,87.2,0,1,1,1,26,Medium
AG-325-L03,3.45,0,0,0,0,2,Low
AG-325-L04,0,0,0,0,0,0,Low
AG-325-L05,81.17,0.16,1,1,1,27,Medium
AG-325-L06,9.43,0,1,1,1,12,Low
AG-325-L07,4.17,0,0,0,0,0,Low
AG-325-L08,0,0,0,0,1,2,Low
AG-325-L09,50.59,0,1,1,1,15,Medium
AG-325-L10,2.08,0,0,0,0,1,Low
AG-325-L11,0,0,0,0,0,0,Low
AG-325-L13,4.17,0,0,0,0,2,Low
AG-325-L14,78.8,0,1,0,0,22,Medium
AG-325-L15,3.45,1.72,0,0,0,1,Low
AG-325-L16,22.22,0,0,0,0,24,Low
AG-325-L17,15.52,0,0,0,0,10,Low
AG-325-L18,18.24,0,0,0,0,7,Low
AG-325-L19,15.09,0,0,0,0,2,Low
AG-325-L20,18.87,1.89,0,0,0,8,Low
AG-325-L21,12.57,0,0,0,0,6,Low
AG-325-L22,71.08,0,1,0,0,22,Medium
AG-325-M04,13.21,0,0,1,1,11,Low
AG-325-M05,66.3,0.44,0,0,0,27,Medium
AG-325-M06,29.93,0,0,0,0,15,Low
AG-325-M07,0,0,0,0,0,0,Low
AG-325-M08,42.45,0,1,1,1,10,Low
AG-325-M09,26.39,0.48,0,0,0,9,Low
AG-325-M10,12.07,0,0,0,0,4,Low
AG-325-M11,7.55,0,1,0,0,2,Low
AG-325-M13,5.38,0.5,0,0,0,2,Low
AG-325-M14,10,0,0,0,0,3,Low
AG-325-M15,7.02,0,0,0,0,8,Low
AG-325-M16,9.61,0,1,0,0,1,Low
AG-325-M17,59.87,0,1,0,0,19,Medium
AG-325-M18,0,0,0,0,0,1,Low
AG-325-M19,69.85,0,1,1,1,25,Medium
AG-325-M20,9.43,0,0,0,0,4,Low
AG-325-M21,0,0,0,0,0,0,Low
AG-325-M22,0,0,0,1,1,3,Low
AG-325-M23,0,0,0,0,0,1,Low
AG-325-N03,12.5,0,0,0,0,5,Low
AG-325-N04,0,0,0,0,0,2,Low
AG-325-N05,13.55,0,0,0,0,3,Low
AG-325-N07,30.87,0,1,0,0,7,Low
AG-325-N08,26.42,0,0,0,0,8,Low
AG-325-N09,37.32,0,1,0,0,19,Low
AG-325-N10,59.34,0,1,1,1,28,Medium
AG-325-N11,8.33,0,0,0,0,7,Low
AG-325-N13,36.32,0,0,0,0,29,Low
AG-325-N14,16.98,0,0,0,0,7,Low
AG-325-N15,34.51,0.78,1,1,1,15,Low
AG-325-N16,30.19,0,0,1,0,4,Low
AG-325-N17,19.86,0,0,0,0,5,Low
AG-325-N19,15.09,0,0,1,1,2,Low
AG-325-N20,17.24,0,0,0,0,2,Low
AG-325-N21,34.17,0,1,0,0,24,Low
AG-325-N22,48.12,0,0,0,0,23,Low
AG-325-N23,2.27,0,0,0,0,1,Low
AG-325-O02,7.93,1.72,0,0,0,1,Low
AG-325-O03,54.73,0.57,0,0,0,24,Medium
AG-325-O04,13.21,0,0,1,1,9,Low
AG-325-O05,26.51,0,0,0,0,10,Low
AG-325-O06,0,0,0,0,0,1,Low
